query,intent,response
"Where is my order?",order_status,"You can check your current order status from the Orders section of your account."
"Can you tell me where my package is?",order_status,"You can check your current order status from the Orders section of your account."
"I want to track my order",order_status,"You can check your current order status from the Orders section of your account."
"How can I see my order status?",order_status,"You can check your current order status from the Orders section of your account."
"Has my order been shipped?",order_status,"You can check your current order status from the Orders section of your account."
"I want to cancel my order",order_cancel,"You can request order cancellation if the order has not already been dispatched."
"Please cancel my order",order_cancel,"You can request order cancellation if the order has not already been dispatched."
"Can I cancel an order?",order_cancel,"You can request order cancellation if the order has not already been dispatched."
"I ordered something by mistake",order_cancel,"You can request order cancellation if the order has not already been dispatched."
"How do I cancel my purchase?",order_cancel,"You can request order cancellation if the order has not already been dispatched."
"When will I get my refund?",refund,"Refunds are processed according to the payment method and may take a few business days to appear."
"My refund has not arrived",refund,"Refunds are processed according to the payment method and may take a few business days to appear."
"How long does a refund take?",refund,"Refunds are processed according to the payment method and may take a few business days to appear."
"I want to know about my refund",refund,"Refunds are processed according to the payment method and may take a few business days to appear."
"Where is my refunded money?",refund,"Refunds are processed according to the payment method and may take a few business days to appear."
"My payment failed",payment_issue,"Please verify your payment details and try the payment again."
"Why did my payment fail?",payment_issue,"Please verify your payment details and try the payment again."
"I cannot complete my payment",payment_issue,"Please verify your payment details and try the payment again."
"My card payment is not working",payment_issue,"Please verify your payment details and try the payment again."
"The payment was declined",payment_issue,"Please verify your payment details and try the payment again."
"My delivery is late",delivery_delay,"We are sorry for the delay. Please check the latest delivery status in your Orders section."
"My order has not arrived",delivery_delay,"We are sorry for the delay. Please check the latest delivery status in your Orders section."
"Why is my delivery delayed?",delivery_delay,"We are sorry for the delay. Please check the latest delivery status in your Orders section."
"My package is taking too long",delivery_delay,"We are sorry for the delay. Please check the latest delivery status in your Orders section."
"When will my delayed order arrive?",delivery_delay,"We are sorry for the delay. Please check the latest delivery status in your Orders section."
"Is this product available?",product_availability,"Product availability can be checked on the product page."
"Do you have this product in stock?",product_availability,"Product availability can be checked on the product page."
"Is this item currently available?",product_availability,"Product availability can be checked on the product page."
"Can I buy this product now?",product_availability,"Product availability can be checked on the product page."
"Is this product out of stock?",product_availability,"Product availability can be checked on the product page."
"Tell me about this product",product_info,"You can find product details, specifications, and other information on the product page."
"What are the details of this product?",product_info,"You can find product details, specifications, and other information on the product page."
"I want more information about this item",product_info,"You can find product details, specifications, and other information on the product page."
"What are the specifications?",product_info,"You can find product details, specifications, and other information on the product page."
"Can you give me product information?",product_info,"You can find product details, specifications, and other information on the product page."
"I cannot log into my account",account_issue,"Please verify your login credentials and use the account recovery option if necessary."
"I forgot my password",account_issue,"Please use the account recovery option to reset your password."
"My account login is not working",account_issue,"Please verify your login credentials and use the account recovery option if necessary."
"I cannot access my account",account_issue,"Please verify your login credentials and use the account recovery option if necessary."
"Why can't I sign in?",account_issue,"Please verify your login credentials and use the account recovery option if necessary."
"I want to return my product",return_request,"You can initiate a return request from your order details if the item is eligible."
"How do I return an item?",return_request,"You can initiate a return request from your order details if the item is eligible."
"Can I return my order?",return_request,"You can initiate a return request from your order details if the item is eligible."
"I received a product I want to return",return_request,"You can initiate a return request from your order details if the item is eligible."
"How can I request a return?",return_request,"You can initiate a return request from your order details if the item is eligible."
"My coupon is not working",coupon_issue,"Please check the coupon conditions, validity period, and minimum order requirements."
"Why is my coupon not applying?",coupon_issue,"Please check the coupon conditions, validity period, and minimum order requirements."
"My discount code does not work",coupon_issue,"Please check the coupon conditions, validity period, and minimum order requirements."
"I cannot use my coupon",coupon_issue,"Please check the coupon conditions, validity period, and minimum order requirements."
"Why was my coupon rejected?",coupon_issue,"Please check the coupon conditions, validity period, and minimum order requirements."
